AGED A/R REPORT SUMMARY,,,,,,Date:10/03/2024
CUST.#,NAME,A/R BALANCE,INV.AMT,PAYMENTS,DEB/CRED,FUTURES,CURRENT,1-30,31-60,61-90,OVER-90

48HG    ,HH GREGG,7457.63,7457.63, , ,-1410.92, , , , ,8868.55,
49CI    ,EIGHT CICCOLINI BROTHERS,0, , , ,-68.1, , , , ,68.1,
50LU    ,LUSBYS APPL AND ELEC INC,6560.43,28885.1,22324.67, , , , , , ,6560.43,
51DS    ,D AND S APPLANCE INC.,38447,111256.87,72809.87, , , , , , ,38447,
52PQ    ,PEQUANNOCK APPLIANCE CO ,16396.52,57823.79,41427.27, ,-245, , , , ,16641.52,
53FL    ,FLICK BROTHERS ELECTRIC,39293.18,183399.6,144106.42, , , , , , ,39293.18,
56SA    ,SANATOGA CORP.          ,63978.65,211260.99,147282.34, ,-384.05, , , , ,64362.7,
57BE    ,BERGER APPLIANCE INC    ,73355.96,647207.52,573851.56, , , , , , ,73355.96,
58BO    ,BOTANY TV AND APPL INC,47176.3,214921.76,167745.46, ,-458.02, , , , ,47634.32,
59EL    ,ELM RADIO AND TV INC,25113.81,60013.54,34899.73, , , , , , ,25113.81,
60CU    ,CURTOS INCORPORATED     ,49555.18,207368.8,157813.62, , , , , , ,49555.18,
61DC    ,US LBM LLC.,49099.26,196407.43,147308.17, , , , , , ,49099.26,
62FR    ,FRED DECESARE'S VILLAGE ,65441.04,398305.6,332864.56, ,-9078.78, , , , ,74519.82,
63AB    ,A.B.C. SALES AND SERVICE,64417.93,411780.43,347362.5, , , , , , ,64417.93,
64GR    ,GRINGER AND SONS INC,66388.41,358495.56,292107.15, , , , , , ,66388.41,
65SI    ,SILVER CITY             ,253.89,253.89, , ,-1365.82, , , , ,1619.71,
66TR    ,TRIPODI'S ELECTRONICS   ,51767.19,159604.72,107837.53, , , , , , ,51767.19,
67VT    ,VOITEK TV SALES AND ,39199.92,352841.73,313641.81, ,-958.28, , , , ,40158.2,
68QU    ,QUEEN APPLIANCE WHOLESAL,61848.94,496002.7,434153.76, ,-1812.34, , , , ,63661.28,
69JC    ,JERSEY COAST APPLIANCE,21132.96,42544.53,21411.57, ,-330.58, , , , ,21463.54,
70YO    ,MIGHTY YOUNGS APPL LLC,28183,79886.44,51703.44, , , , , , ,28183,
71AL    ,ALBO APPLIANCE          ,84337.65,511878.6,427540.95, ,-368.69, , , , ,84706.34,
72BL    ,BLONDER'S DISCOUNT APPL.,55456.67,217056.08,161599.41, , , , , , ,55456.67,
73GC    ,GRAND CENTRAL TV AND APP,29979.97,105834.35,75854.38, , , , , , ,29979.97,
74RC    ,RAC ENTERPRISE INC.,79944.27,180567.27,100623, ,-103630.73, , , , ,183575,
